,Unnamed: 0,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
232,115,Hotel U.T.ELITE,Bangalore,1530,184,1714,6.9,Good ,486,4.7
233,116,Fairfield by Marriott Bengaluru Rajajinagar,Bangalore,5650,678,6328,7.6,Good ,84,5.1
234,117,Lazdana Hotel Bangalore,Bangalore,4589,551,5140,8.1,Very good ,130,9.1
235,118,Super OYO Townhouse 258 Spruce Hotels Bellandur,Bangalore,1611,227,1838,8.2,Very good ,24,5.9
236,119,Astra Hotels and Suites - Koramangala,Bangalore,1999,240,2239,8.6,Fabulous ,89,8.8
237,120,Stayhome Suites,Bangalore,2330,280,2610,8.2,Very good ,530,5.9
238,121,Grand Mercure Bangalore - An Accor Brand,Bangalore,9700,1746,11446,8.1,Very good ,118,3.8
239,122,Olive Indiranagar Metro - by Embassy Group,Bangalore,3018,422,3440,10.0,Exceptional ,2,13.1
240,123,Luxurious 3BHK in 23rd floor of Bhartiya City,Bangalore,5400,648,6048,8.4,Very good ,50,4.4
241,0,Courtyard by Marriott Chennai,Chennai,6000,1080,10915,8.2,Very good ,1384,1.7
242,1,"Radisson Blu Hotel GRT, Chennai International Airport",Chennai,9250,1665,6720,8.9,Fabulous ,422,7.2
243,2,Taj Club House,Chennai,6000,720,762,7.9,Good ,1412,4.0
244,3,Hotel Ambika Palace,Chennai,680,82,4536,7.8,Good ,53,2.0
245,4,Citadines OMR Chennai,Chennai,4050,486,546,8.4,Very good ,2261,5.0
246,5,OYO Flagship Grand Residency Near Kasi Talkies,Chennai,457,89,3413,5.1,Good ,22,1.3
247,6,Ibis Chennai OMR - An Accor Brand,Chennai,3047,366,3856,7.8,Good ,2463,15.6
248,7,Hotel Comfort Park - Opposite Sri Ramachandra Medical College Porur,Chennai,3443,413,9802,8.1,Very good ,254,4.7
249,8,Park Hyatt Chennai,Chennai,8307,1495,3852,8.8,Fabulous ,954,15.1
250,9,"Treebo Trend Elan - 4 Km Away From MA Chidambaram Stadium, Chennai",Chennai,3439,413,10029,7.0,Good ,384,10.2
251,10,Hyatt Regency Chennai,Chennai,8499,1530,1034,7.5,Good ,1507,3.5
252,11,OYO Flagship BKM Guest House,Chennai,893,141,3692,8.4,Very good ,979,1.7
253,12,FabHotel Nestlay Rooms Airport,Chennai,3296,396,4590,8.2,Very good ,1423,1.6
254,13,Novotel Chennai Sipcot,Chennai,4098,492,14750,8.4,Very good ,2463,0.6
255,14,"ITC Grand Chola, a Luxury Collection Hotel, Chennai",Chennai,12500,2250,7609,8.1,Very good ,1828,6.4
256,15,Novotel Chennai Chamiers Road,Chennai,6794,815,10915,8.7,Fabulous ,1317,23.3
257,16,Trident Chennai,Chennai,9250,1665,7466,8.2,Very good ,2014,3.6
258,17,Radisson Blu Hotel Chennai City Centre,Chennai,6666,800,5151,8.1,Very good ,1514,1.6
259,18,Novotel Chennai OMR,Chennai,4599,552,672,6.3,Good ,127,7.3
260,19,SIU Mansion,Chennai,600,72,454,1.6,Good ,13,3.8
261,20,SPOT ON Ams Annex,Chennai,375,79,3584,8.7,Fabulous ,86,15.1
262,21,Hotel Kamar Residences and Banquets,Chennai,3200,384,16886,8.7,Fabulous ,1818,5.1
263,22,The Leela Palace Chennai,Chennai,14310,2576,2164,7.9,Good ,506,1.3
264,23,FabHotel Earth,Chennai,1932,232,2418,8.3,Very good ,1098,5.3
265,24,FabHotel Sri Krishna Residency Airport,Chennai,2159,259,2673,8.0,Very good ,1315,9.4
266,25,FabHotel Golden Swan Chennai Airport Free Pickup & Drop,Chennai,2387,286,9971,8.4,Very good ,1257,5.1
267,26,"Taj Connemara, Chennai",Chennai,8450,1521,6495,7.9,Good ,1092,3.9
268,27,"Holiday Inn Chennai OMR IT Expressway, an IHG Hotel",Chennai,5799,696,4094,8.4,Very good ,464,7.2
269,28,"Avenue 11 Boutique Residences, Poes Garden Chennai",Chennai,3655,439,11799,8.2,Very good ,321,12.6
270,29,"Feathers- A Radha Hotel, Chennai",Chennai,9999,1800,2811,5.6,Good ,20,3.9
271,30,FabHotel Prime Stalin Pleasant Park,Chennai,2510,301,2821,7.3,Good ,253,2.3
272,31,Hotel Beebiz Guindy,Chennai,2519,302,907,6.1,Good ,19,7.0
273,32,CENTRAL GATE,Chennai,810,97,2520,6.7,Good ,61,1.7
274,33,GRAND ELEGANT,Chennai,2250,270,4819,7.7,Good ,150,2.1
275,34,Hanu Reddy Residences Poes Garden,Chennai,4303,516,5950,7.7,Good ,723,2.9
276,35,The Madras Grand,Chennai,5313,637,4731,7.1,Good ,37,6.1
277,36,Layalee Grande Hotel Chennai,Chennai,4224,507,952,7.6,Good ,888,5.2
278,37,Broad Lands,Chennai,850,102,4704,7.2,Good ,21,1.4
279,38,Hotel TamilNadu - Mamallapuram,Chennai,4200,504,1300,8.5,Very good ,358,2.9
280,39,SM MANSION near Harbour & High court,Chennai,1161,139,5599,7.8,Good ,150,6.1
281,40,Pharos Hotels,Chennai,4999,600,3781,6.8,Good ,139,2.5
282,41,Treebo Trend Fourth Avenue,Chennai,3376,405,2577,8.2,Very good ,489,6.1
283,42,The Hydel Park - Business Class Hotel - Near Central Railway Station,Chennai,2301,276,3105,8.2,Very good ,5,2.5
284,43,FabHotel Prime Vijay Park Madhavaram,Chennai,2772,333,2577,8.4,Very good ,187,2.1
285,44,Greens Suite - Business Class Hotel - Opposite Ripon Building,Chennai,2301,276,2800,7.5,Good ,1610,2.9
286,45,ibis Chennai Sipcot - An Accor Brand,Chennai,2500,300,2243,7.1,Good ,173,4.6
287,46,Treebo Trend Eco Stay Nandanam,Chennai,2003,240,6887,7.8,Good ,658,3.4
288,47,"The Raintree, Anna Salai",Chennai,5999,888,2446,7.4,Good ,206,5.0
289,48,"UPAR Hotels Thoraipakkam, OMR",Chennai,2184,262,2546,7.8,Good ,891,1.1
290,49,FabHotel Blossoms Service Apartment,Chennai,2273,273,3359,6.4,Good ,1244,11.1
291,50,"Holiday Inn Express Chennai OMR Thoraipakkam, an IHG Hotel",Chennai,2999,360,3752,7.9,Good ,110,8.7
292,51,Umino Beach Resort,Chennai,3350,402,7503,6.2,Good ,2090,3.0
293,52,The Park Chennai,Chennai,6699,804,3926,8.5,Very good ,433,5.2
294,53,"Essentia Premier Hotel, Chennai",Chennai,3505,421,3248,7.8,Good ,178,6.1
295,54,SKM REGENCY,Chennai,2900,348,2610,7.4,Good ,249,2.5
296,55,FabHotel Skyry,Chennai,2330,280,5196,6.1,Good ,944,11.4
297,56,Clarion Hotel President,Chennai,4639,557,3043,7.8,Good ,475,6.1
298,57,FabHotel Colors Apartment,Chennai,2203,840,7660,8.6,Fabulous ,382,2.5
299,58,Taj Wellington Mews Chennai,Chennai,7000,660,5842,8.2,Very good ,1991,23.3
300,59,Vivanta Chennai IT Expressway OMR,Chennai,5500,342,5082,5.5,Good ,63,1.6
301,60,Grand Cascade Chennai,Chennai,2850,2232,12879,8.7,Fabulous ,999,1.4
302,61,Taj Coromandel,Chennai,12400,479,4530,7.5,Good ,125,10.5
303,62,La Woods Hotel,Chennai,3990,540,5256,7.2,Good ,1543,0.7
304,63,ibis Chennai City Centre - An Accor Brand,Chennai,4500,756,6815,7.3,Good ,479,12.3
305,64,Hablis Chennai,Chennai,6299,516,4900,7.2,Good ,64,18.5
306,65,Beverly Hotel,Chennai,4300,600,5690,8.1,Very good ,876,2.3
307,66,Turyaa Chennai - OMR IT Expressway,Chennai,5000,690,6194,7.4,Good ,151,10.0
308,67,Boulevard by Design Hotel Chennai,Chennai,5750,444,3914,7.5,Good ,199,6.1
309,68,Raaj Bhaavan Clarks Inn Chennai,Chennai,3700,214,1781,8.4,Very good ,31,2.4
310,69,FabExpress Lloyds Inn I,Chennai,1515,266,2264,8.5,Very good ,1186,1.0
311,70,Collection O Manimegalai Guest House,Chennai,1930,334,3097,7.7,Good ,156,4.1
312,71,FabExpress B Zone,Chennai,2784,313,3508,7.0,Good ,886,1.0
313,72,SUPREME STAY,Chennai,2608,900,7899,7.9,Good ,275,4.8
314,73,Le Royal Meridien Chennai,Chennai,7499,400,3900,8.3,Very good ,155,1.2
315,74,Treebo Trend Vapr Guindy Ekkatuthangal,Chennai,3330,570,4988,9.2,Superb ,222,5.7
316,75,The Saibaba Hotel,Chennai,4750,238,2199,7.3,Good ,357,2.5
317,76,Friendlystay - An Home Stay And Elite,Chennai,1980,219,2363,7.6,Good ,302,15.0
318,77,Skb Hotel Grand Days - Fully Vaccinated Staff,Chennai,1823,540,4643,6.7,Good ,117,6.1
319,78,The Kings Park Grand-Near US Consulate,Chennai,4499,144,1626,7.8,Good ,189,2.5
320,79,"The Dolphin Park Hotel, Virugambakkam",Chennai,1199,427,4184,8.4,Very good ,174,2.5
321,80,"Treebo Trend Pechis Castle - 5 Km Away From MA Chidambaram Stadium, Chennai",Chennai,3554,630,5451,7.2,Good ,119,4.1
322,81,RATHNA RESIDENCY,Chennai,5250,201,1858,5.4,Good ,25,2.0
323,82,FabExpress Lloyds Inn,Chennai,1672,186,3171,8.6,Fabulous ,1292,3.1
324,83,FabExpress Arunachala Guest House,Chennai,1281,1890,11070,8.1,Very good ,919,2.8
325,84,Grand Chennai by GRT Hotels,Chennai,9450,1620,9129,6.6,Good ,42,4.6
326,85,Green Park Chennai,Chennai,9000,129,1370,6.5,Good ,136,4.3
327,86,The Mount Regency,Chennai,1071,299,2779,6.9,Good ,145,7.7
328,87,Hotel La Castle,Chennai,2490,289,2938,7.3,Good ,197,2.2
329,88,Treebo Trend Rithikha Inn Crest Ashok Nagar,Chennai,2409,529,4827,8.2,Very good ,420,5.7
330,89,Hotel Aadithya,Chennai,4409,418,3855,7.4,Good ,32,11.0
331,90,Regenta Central RS Chennai OMR SIPCOT,Chennai,3485,370,3423,6.9,Good ,194,4.1
332,91,"Treebo Trend Green City - 3 Km Away From MA Chidambaram Stadium, Chennai",Chennai,3082,341,3271,6.3,Good ,85,1.1
333,92,Upar Hotels Cinecity Kodambakkam RAGHAVENDRA MANDAPAM,Chennai,2843,428,3808,9.0,Superb ,248,11.1
334,93,Individual villa in Velachery,Chennai,3570,238,2096,8.1,Very good ,905,2.1
335,94,Townhouse 211 Laguna Ecr Near Juhu Beach,Chennai,1700,396,5157,8.7,Fabulous ,202,5.3
336,96,Hilton Chennai,Chennai,10320,204,2103,8.8,Fabulous ,138,3.7
337,97,Stay Court - Business Class Hotel - Near Central Railway Station,Chennai,1700,403,3646,7.6,Good ,270,1.2
338,98,Velachery Villa,Chennai,3360,286,2633,7.5,Good ,333,9.8
339,99,RR Mount Elite Suites,Chennai,2385,248,2880,7.3,Good ,155,5.9
340,100,Al Noor Palace Business Class Hotel,Chennai,2070,810,6905,7.6,Good ,57,2.7
341,101,E Hotel,Chennai,6749,156,1750,7.9,Good ,811,2.1
342,102,GULNAAR INN,Chennai,1300,450,4194,8.2,Very good ,1438,4.8
343,103,Niketana @ Boat Club,Chennai,3750,444,3891,8.6,Fabulous ,173,3.0
344,104,Fairfield by Marriott Chennai OMR,Chennai,3700,191,1870,7.3,Good ,17,1.9
345,105,FabExpress P.A.S Residency,Chennai,1591,279,2357,6.2,Good ,109,1.4
346,106,Sheraton Grande Hotel - Business Class Hotel - Near Central Railway Station,Chennai,2325,32,1929,7.3,Good ,24,4.7
347,107,FabExpress Sai Enclave,Chennai,1755,174,1618,8.4,Very good ,89,1.2
348,108,Hotel White Park,Chennai,1450,168,1598,7.1,Good ,41,3.0
349,109,OYO Townhouse 1116 US consulate,Chennai,1188,410,3837,7.0,Good ,426,5.2
350,110,Hotel Halez,Chennai,3420,417,3788,8.7,Fabulous ,1159,1.6
351,111,Palette - Coastal Grand Hotels & Resorts,Chennai,3194,594,6014,7.8,Good ,62,4.6
352,112,Hotel Park Elanza Chennai,Chennai,4949,1065,7560,5.4,Good ,287,2.3
353,113,"The Raintree, St. Maryâ€™s Road",Chennai,7199,361,1532,6.7,Good ,175,3.2
354,114,The coloursinn Home stays,Chennai,1352,180,1846,7.1,Good ,174,22.5
355,115,Olive Grand,Chennai,1500,346,3605,6.7,Good ,140,5.9
356,116,Mount Manor,Chennai,2880,725,6260,8.1,Very good ,117,2.9
357,117,JP Chennai Hotel,Chennai,6044,216,2400,7.1,Good ,280,1.6
358,118,Green Tree Hotel,Chennai,1800,600,5504,5.2,Good ,79,7.4
359,119,Hotel Ranjith,Chennai,5000,504,4273,5.8,Good ,10,21.9
360,120,Park Plaza Chennai OMR,Chennai,4200,73,833,8.6,Fabulous ,27,3.0
361,121,Aum Karthikeya Residency,Chennai,611,222,2106,7.9,Good ,429,24.6
362,0,Hangout Dormitory For Male & Female Marol,Mumbai,824,99,923,7.3,Good ,9,4.6
363,1,Country Inn By Turtle Hotel and Resort,Mumbai,4980,598,5578,6.9,Good ,43,7.2
364,2,Country Inn & Suites By Turtle,Mumbai,5400,648,6048,7.7,Good ,145,2.0
365,3,"ITC Grand Central, a Luxury Collection Hotel, Mumbai",Mumbai,11250,2025,13275,8.6,Fabulous ,1800,7.2
366,4,Residency Sarovar Portico,Mumbai,5850,702,6552,7.0,Good ,508,2.0
367,6,FabHotel Ascot International II,Mumbai,2614,314,2928,8.0,Very good ,47,11.5
368,7,JW Marriott Mumbai Sahar Airport,Mumbai,14500,2610,17110,8.6,Fabulous ,2564,2.6
369,8,Hotel Ariana Residency,Mumbai,5406,649,6055,6.9,Good ,377,2.9
370,9,Country Inn by UMRB,Mumbai,4590,551,5141,6.6,Good ,7,3.0
371,10,Hotel Icon International Airport Mumbai,Mumbai,2268,272,2540,6.3,Good ,20,7.4
372,11,Four Seasons Hotel Mumbai,Mumbai,20000,3600,23600,8.5,Very good ,2200,1.5
373,12,"Holiday Inn Mumbai International Airport, an IHG Hotel",Mumbai,10249,1845,12094,7.9,Good ,1675,7.2
374,13,FabHotel RK International,Mumbai,4207,505,4712,7.4,Good ,662,2.0
375,14,Arts International,Mumbai,2840,341,3181,8.1,Very good ,141,3.1
376,15,"Treebo Trend Prince, Mumbai",Mumbai,2982,358,3340,5.8,Good ,90,10.9
377,16,FabExpress Highway Residency,Mumbai,2090,251,2341,6.4,Good ,69,3.2
378,17,Taj Santacruz,Mumbai,15500,2790,18290,8.8,Fabulous ,3494,1.3
379,18,"The Ambassador, Marine Drive, Mumbai",Mumbai,8399,1512,9911,7.7,Good ,299,4.5
380,19,Trident Nariman Point,Mumbai,15750,2835,18585,8.7,Fabulous ,4077,1.0
381,20,Aster Hotel Near Mumbai Airport,Mumbai,2186,262,2448,7.9,Good ,176,3.4
382,21,Hotel Golden Park NESCO-Exhibitions Centre,Mumbai,2249,270,2519,5.8,Good ,108,3.7
383,22,T24 Retro,Mumbai,4099,492,4591,7.5,Good ,173,3.1
384,23,Hotel A Suites,Mumbai,2599,312,2911,6.9,Good ,159,2.8
385,24,Hotel Malad Inn opposite Malad Railway Station,Mumbai,3526,423,3949,7.5,Good ,91,16.8
386,25,"Treebo Trend Freedom Star, Vile Parle",Mumbai,3598,432,4030,6.7,Good ,122,2.4
387,26,JW Marriott Mumbai Juhu,Mumbai,18000,3240,21240,8.4,Very good ,1696,17.6
388,27,FabHotel Arc Palace,Mumbai,2357,336,2693,7.5,Good ,17,2.8
389,28,Hotel Bawa International,Mumbai,6750,810,7560,7.2,Good ,1081,3.2
390,29,Regent Hotel Andheri,Mumbai,5333,640,5973,7.6,Good ,127,7.9
391,30,Arnna Hotel- Goregaon East,Mumbai,4990,599,5589,7.9,Good ,216,3.4
392,31,"One Bedroom Apartment by Kind Home Regent Hills, Mumbai Powai",Mumbai,6999,840,7839,9.0,Superb ,3,2.9
393,32,Home2 Renaissance Club,Mumbai,3960,475,4435,7.5,Good ,17,2.8
394,33,The Cattleya,Mumbai,2700,324,3024,6.9,Good ,50,12.5
395,34,"ITC Maratha, a Luxury Collection Hotel, Mumbai",Mumbai,13300,2394,15694,8.2,Very good ,3196,4.1
396,35,FabExpress Alive,Mumbai,3237,388,3625,7.0,Good ,25,2.0
397,36,The Leela Mumbai,Mumbai,15000,2700,17700,8.6,Fabulous ,3140,6.1
398,37,Hotel Tavakkal Bandra Kurla Mumbai,Mumbai,1875,225,2100,7.8,Good ,350,27.3
399,38,Hotel Linkway,Mumbai,3000,360,3360,8.3,Very good ,160,3.4
400,39,Royal Hometel Suites,Mumbai,4500,540,5040,7.6,Good ,707,2.8
401,40,Trident Bandra Kurla,Mumbai,20750,3735,24485,8.8,Fabulous ,3669,4.3
402,41,FabHotel Liwa International,Mumbai,3240,389,3629,7.5,Good ,148,9.1
403,42,"Hotel Mumbai House Andheri East, Mumbai",Mumbai,4300,516,4816,7.1,Good ,49,5.9
404,43,Hotel Bawa Regency,Mumbai,6350,762,7112,7.7,Good ,464,7.9
405,44,"Home2 Suites and Service Apartments, Mumbai Airport",Mumbai,4000,480,4480,7.9,Good ,402,3.9
406,45,The Westin Mumbai Garden City,Mumbai,12000,2160,14160,8.6,Fabulous ,1072,3.2
407,46,Hilton Mumbai International Airport Hotel,Mumbai,9500,1710,11210,7.8,Good ,1870,6.0
408,47,FabExpress Colaba Grand,Mumbai,3063,368,3431,6.7,Good ,212,1.8
409,48,President - IHCL SeleQtions,Mumbai,12000,2160,14160,8.2,Very good ,1676,3.7
410,49,Grand Hyatt Mumbai Hotel and Residences,Mumbai,18000,3240,21240,8.2,Very good ,2008,1.1
411,50,Hotel Auris,Mumbai,8399,1512,9911,7.8,Good ,79,4.6
412,51,The St. Regis Mumbai,Mumbai,17500,3150,20650,8.7,Fabulous ,1582,1.4
413,52,Treebo Trend Laaiba Residency,Mumbai,5872,705,6577,7.4,Good ,76,20.8
414,53,Hotel BKC NX,Mumbai,2700,324,3024,9.8,Exceptional ,37,1.5
415,54,Novotel Mumbai International Airport,Mumbai,13199,2376,15575,8.5,Very good ,518,6.0
416,55,"Taj The Trees, Mumbai",Mumbai,14300,2574,16874,7.9,Good ,18,4.3
417,56,OYO Hotel Blue Sea Near Chhatrapati Shivaji International Airport,Mumbai,950,148,1098,2.7,Good ,66,7.8
418,57,MAXX VALUE - HOTEL KOHINOOR CONTINENTAL,Mumbai,8999,1620,10619,7.0,Good ,52,2.6
419,58,FabHotel Amour Andheri East,Mumbai,2679,321,3000,7.6,Good ,646,3.0
420,59,"The Taj Mahal Tower, Mumbai",Mumbai,17000,3060,20060,9.0,Superb ,4910,10.8
421,60,FabExpress Marol Metro Andheri East,Mumbai,2665,320,2985,6.7,Good ,417,3.2
422,61,Hotel Karl Residency,Mumbai,5000,600,5600,7.0,Good ,49,18.4
423,62,"Apex Beacon Hotel, Mumbai",Mumbai,4728,567,5295,7.1,Good ,68,19.0
424,63,"Sai Palace Grand, Malad",Mumbai,4800,576,5376,7.5,Good ,108,2.8
425,64,Empire Hotel - Grant Road,Mumbai,4382,526,4908,8.1,Very good ,311,2.8
426,65,FabExpress Adore Inn,Mumbai,2840,341,3181,7.2,Good ,467,5.8
427,66,Bindra Elite,Mumbai,2047,246,2293,6.4,Good ,13,10.7
428,67,Dream Palace Residency,Mumbai,2610,313,2923,6.9,Good ,31,7.4
429,68,Fairfield by Marriott Mumbai International Airport,Mumbai,13499,2430,15929,8.1,Very good ,836,0.5
430,69,Taj Lands End,Mumbai,19250,3465,22715,8.6,Fabulous ,3878,3.8
431,70,FabHotel Gorrion International,Mumbai,2151,258,2409,6.6,Good ,89,4.9
432,71,Hotel A K Fort Inn,Mumbai,4050,486,4536,7.0,Good ,22,2.9
433,72,Chateau Windsor Hotel - Marine Drive,Mumbai,7056,847,7903,7.7,Good ,492,4.3
434,74,Nap Manor Hostels,Mumbai,3329,400,3729,9.0,Superb ,856,17.8
435,75,"The Taj Mahal Palace, Mumbai",Mumbai,24000,4320,28320,9.1,Superb ,1534,3.4
436,76,Treebo Trend Seven Olives,Mumbai,3107,373,3480,6.5,Good ,51,5.3
437,77,AVIRAHI HOTEL,Mumbai,2500,300,2800,6.7,Good ,44,2.2
438,78,Hotel Emerald Near International Airport Mumbai,Mumbai,2065,248,2313,6.5,Good ,13,3.7
439,79,ZARA GRAND HOTEL,Mumbai,3000,360,3360,7.0,Good ,161,13.9
440,80,Residency Hotel Andheri,Mumbai,6389,767,7156,7.4,Good ,327,14.2
441,81,Astoria Hotel,Mumbai,11000,1980,12980,8.2,Very good ,68,3.1
442,82,Maxxvalue Apartment Hiranandani Powai - RH5,Mumbai,8549,1539,10088,8.5,Very good ,33,5.6
443,83,FabHotel Bhiwandi Palace,Mumbai,2046,316,2362,7.6,Good ,27,2.6
444,84,"Hotel Park View, Mumbai",Mumbai,5399,648,6047,7.3,Good ,48,7.1
445,85,Hotel Naaz Executive,Mumbai,5499,660,6159,9.2,Superb ,47,1.9
446,86,Sea Green Hotel,Mumbai,9444,1700,11144,7.1,Good ,471,4.9
447,87,Apex Hotel,Mumbai,1979,238,2217,4.8,Good ,88,16.0
448,88,Hotel Marine Plaza,Mumbai,14849,2673,17522,7.5,Good ,436,16.8
449,89,"Marriott Executive Apartment - Lakeside Chalet, Mumbai",Mumbai,17000,3060,20060,7.9,Good ,346,2.4
450,90,FabExpress We Stay,Mumbai,2148,258,2406,6.8,Good ,26,10.1
451,91,FabHotel Empire Suite,Mumbai,2955,355,3310,6.7,Good ,102,3.3
452,92,Radisson Mumbai Andheri MIDC,Mumbai,10500,2415,12915,8.1,Very good ,1377,2.3
453,93,FabHotel Spring Inn Kandivali,Mumbai,3127,375,3502,7.7,Good ,346,17.8
454,94,Courtyard by Marriott Mumbai International Airport,Mumbai,14000,2520,16520,8.1,Very good ,1403,4.2
455,95,Hotel Avion Palace New,Mumbai,2079,250,2329,7.7,Good ,38,14.4
456,96,Peace International,Mumbai,4050,486,4536,7.6,Good ,99,3.1
457,97,FabHotel Zaika Orchid Apartment,Mumbai,2046,246,2292,7.3,Good ,15,2.3
458,98,Country Inn & Suites By UMRB,Mumbai,5400,648,6048,7.7,Good ,446,5.2
459,99,Krishna Palace Hotel,Mumbai,7450,894,8344,6.8,Good ,2315,16.9
460,100,Novotel Mumbai Juhu Beach,Mumbai,11000,1980,12980,7.9,Good ,52,2.6
461,101,Treebo Tryst Savera Inn,Mumbai,7062,847,7909,9.3,Superb ,1647,6.0
462,102,The Oberoi Mumbai,Mumbai,22000,3960,25960,7.9,Good ,907,32.4
463,103,Hotel Bawa Continental,Mumbai,6750,810,7560,8.1,Very good ,410,5.4
464,104,Theory9 Premium Service Apartments Bandra,Mumbai,10997,1979,12976,6.5,Good ,69,2.3
465,105,"Treebo Trend Amber Palace - 3 Km Away From Wankhede Stadium, Mumbai",Mumbai,4028,483,4511,7.0,Good ,108,1.9
466,106,Rama Krishna Hotel,Mumbai,4000,480,4480,5.8,Good ,704,16.9
467,107,Hotel Leafio-Near Airport,Mumbai,2699,324,3023,6.5,Good ,1395,2.4
468,108,ibis Mumbai Airport - An Accor Brand,Mumbai,6999,840,7839,6.8,Good ,465,2.7
469,109,Backpackers Villa Mumbai,Mumbai,2214,266,2480,3.9,Good ,214,17.0
470,110,Hotel Happyland,Mumbai,2610,313,2923,8.1,Very good ,1150,2.5
471,111,The Westin Mumbai Powai Lake,Mumbai,12000,2160,14160,7.8,Good ,67,6.7
472,112,Treebo Trend Atithi Inn,Mumbai,4272,513,4785,5.8,Good ,233,4.2
473,113,Ginger Mumbai Andheri (MIDC),Mumbai,3999,480,4479,7.7,Good ,590,3.6
474,114,FabHotel Axis International,Mumbai,3978,477,4455,4.7,Good ,117,4.8
475,115,Hotel Milan International,Mumbai,1787,214,2001,3.6,Good ,86,14.2
476,116,"Hotel BKC Inn Near Trade Center, Visa Consulate",Mumbai,2940,353,3293,6.0,Good ,31,4.4
477,117,RELAX GUEST HOUSE,Mumbai,1680,202,1882,8.0,Very good ,344,7.5
478,118,Elphinstone Hotel,Mumbai,4556,547,5103,6.6,Good ,129,3.8
479,119,"Treebo Trend Prime Grand, Andheri",Mumbai,2566,308,2874,6.5,Good ,90,24.5
480,120,Hotel Olten,Mumbai,3200,384,3584,6.9,Good ,348,7.4
481,121,T24 Residency,Mumbai,6999,840,7839,7.1,Good ,350,1.9
482,122,Hotel Embassy Park - BKC Mumbai,Mumbai,3400,408,3808,7.3,Good ,297,14.3
483,123,Hostel Vasantashram CST Mumbai,Mumbai,2088,251,2339,3.0,Good ,8,6.7
